id,nome_do_produto,nome_da_empresa,data_de_fabricacao,data_de_validade,numero_de_serie,instrucoes_de_armazenamento
635,morphine sulfate,"Physicians Total Care, Inc.",2020-05-13,2023-09-27,SE44 9741 7965 9788 3479 2843,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam
636,"LANOLIN, PETROLATUM",AMERICAN SALES COMPANY,2020-04-09,2023-10-07,FR43 0848 8947 63NX 3X8B OKAQ S07,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
637,Octinoxate and Titanium dioxide,SHISEIDO AMERICAS CORPORATION,2019-11-27,2023-11-11,CH83 8112 2MAK XNQ3 6ZT2 X,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
638,Phenylephrine Hydrochloride,L. Perrigo Company,2020-04-01,2022-10-30,MD18 SG3Y WF9I L4BF 75BX DDCV,nulla ut erat id mauris vulputate elementum nullam varius nulla
639,estradiol,Mylan Pharmaceuticals Inc.,2019-11-21,2022-11-11,GL58 4451 7020 1464 26,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
640,ETHYL ALCOHOL,"Ningbo Dowland Daily Health Co., Ltd",2020-05-06,2024-06-03,IE63 YHYK 4133 4152 6329 52,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
641,"Brompheniramine Maleate, Dextromethorphan Hydrobromide and Phenylephrine Hydrochloride","Larken Laboratories, Inc.",2019-12-18,2023-01-28,MD17 SVK8 MODN N39J SEJH DH9R,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
642,Clotrimazole,CVS Pharmacy,2020-08-08,2023-08-11,FR77 0398 2692 93GF K24Q BVF7 C70,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
643,Propranolol,"Physicians Total Care, Inc.",2020-01-26,2023-10-11,TN03 8808 7435 4294 3145 9656,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
644,sulindac,"Mutual Pharmaceutical Company, Inc.",2019-12-09,2023-09-12,FR33 5489 1590 78X1 CKHL 6IZG F38,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
645,Clonidine HYDROCHLORIDE,"Apotheca, Inc",2019-09-02,2023-07-21,VG74 BMIZ 3846 3471 9553 3026,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet
646,DIPHENHYDRAMINE HYDROCHLORIDE,Breakthrough Products Inc.,2020-06-01,2023-06-28,BE85 5413 0338 8027,tincidunt eu felis fusce posuere felis sed lacus morbi sem
647,ALCOHOL,Sigan Industries,2020-05-23,2024-05-12,FR96 0276 5607 54QA IVVT KXQY W26,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
648,Clonazepam,"H.J. Harkins Company, Inc.",2020-05-28,2022-11-24,PL85 7529 7548 2832 2011 9323 9527,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
649,Ondansetron,Mylan Pharmaceuticals Inc.,2020-05-04,2023-02-24,MU13 FSKY 5885 6224 0153 8230 002P LP,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
650,Aspirin,Mckesson Packaging Services a business unit of Mckesson Corporation,2019-12-06,2024-07-31,IE21 JDNN 7245 1406 0350 88,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
651,Cyclobenzaprine Hydrochloride,Proficient Rx LP,2020-03-21,2023-11-15,VG44 GYMN 5409 1086 9957 7943,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
652,psyllium husk,Guardian,2020-02-01,2024-07-16,PS54 TOTL O8AP 2JWX SSDQ GZRG YIZ1 Z,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
653,Clarithromycin,"Physicians Total Care, Inc.",2020-04-13,2024-02-27,TN15 4167 3826 9532 2969 1297,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
654,Benzonatate,ReadyMeds,2020-03-25,2024-05-18,DK44 4698 8297 4087 08,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
655,Digoxin,Bryant Ranch Prepack,2020-02-06,2024-07-11,IS68 8035 1995 3210 6411 9388 14,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
656,"Mineral oil, petrolatum, phenylephrine hcl",DZA Brands LLC,2020-05-20,2023-08-29,IS58 2373 8993 6593 4805 1472 29,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
657,morphine sulfate,West-Ward Pharmaceutical Corp.,2020-04-20,2024-05-29,FR56 4584 2158 59DM FT4N QQHW I22,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
658,Lithium Carbonate,State of Florida DOH Central Pharmacy,2019-12-22,2023-09-25,LV64 NSKI 68MF DQDN A2DT 0,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
659,Zinc Oxide Dimethicone,Touchless Care Concepts LLC,2020-03-08,2023-06-10,DE73 2190 3946 1899 1154 89,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
660,Estradiol Transdermal System,"Actavis Pharma, Inc.",2019-11-28,2024-02-13,FR70 3672 6020 49IN THVC 453N Q53,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
661,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",American Sales Company,2019-10-07,2023-11-20,FR54 2658 4192 50IJ HU04 ML6L S05,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
662,"Aluminum Hydroxide, Magnesium Hydroxide, Demithicone",CVS,2019-09-05,2023-10-28,AD80 9616 4603 T4IG 3A0Y C0S6,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
663,NITROGLYCERIN,"Hospira, Inc.",2019-09-04,2024-02-27,SI42 7687 9465 7483 404,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
664,Penicillin V Potassium,Aurobindo Pharma Limited,2019-09-23,2022-09-02,BG89 ULZZ 5592 69BH B0RA MS,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
665,"Acetaminophen, Diphenhydramine HCl",BJWC (Berkley & Jensen / BJ's),2020-08-03,2024-02-11,PL67 1658 7763 8290 2167 9496 3084,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
666,Metformin Hydrochloride,"Golden State Medical Supply, Inc.",2019-10-21,2024-01-08,LU09 675V XQUJ 3TQC R34C,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
667,Risperidone,Apotex Corp.,2020-06-17,2022-09-10,TR92 6107 2RCT IORJ HWMJ VQTP JP,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
668,Ranitidine,Amerisource Bergen,2019-12-08,2024-02-12,DO14 Z1SQ 3518 2987 8283 0026 1250,phasellus id sapien in sapien iaculis congue vivamus metus arcu
669,Titanium Dioxide,Neutrogena Corporation,2019-11-19,2024-06-21,HR93 1167 1634 2700 4056 0,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
670,Moexipril Hydrochloride and Hydrochlorothiazide,"Glenmark Generics Inc., USA",2019-10-17,2022-10-15,CZ10 8012 5335 9641 0957 7198,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
671,Antiseptic handwash,Ecolab Inc.,2020-08-16,2023-10-13,FR28 4105 3231 960A XRVD DO4C E54,massa donec dapibus duis at velit eu est congue elementum in hac habitasse
672,"OCTINOXATE, OCTOCRYLENE, TITANIUM DIOXIDE",Laboratoires Clarins S.A.,2020-05-02,2023-12-31,FR59 3930 3691 05E7 ISCM HAYJ 296,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
673,Oxygen,Med-Tech Repairs Inc,2020-01-01,2022-11-28,CY09 1273 7520 OPLI VTMN KNGL G5QZ,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
674,Lisinopril,State of Florida DOH Central Pharmacy,2020-03-27,2023-03-30,VG15 RHXW 9264 6609 4673 4224,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
675,ALCOHOL,"Xiamen Olivee Daily Use Chemical Co., Ltd.",2020-04-01,2022-10-14,MU96 BOYG 2975 4871 6866 2477 989E WA,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
676,AVOBENZONE HOMOSALATE OCTISALATE OXYBENZONE,Kamins Dermatologics Inc.,2020-05-29,2023-06-17,IT47 J085 1058 421C O6X6 VMWH G4Y,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
677,Protriptyline Hydrochloride,Barr Laboratories Inc.,2020-05-12,2023-01-10,FR73 5996 5237 42MB 9JAV 6QSQ M00,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
678,"menthol, methyl salicylate",Cramer Products Inc,2020-06-13,2022-11-11,GL30 4272 8340 7556 05,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
679,"Absinthium, Aconitum nap., Antimon. tart., Belladonna, Bryonia, Carbolicum acidum, Colchicum, Conium, Ferrum metallicum, Gelsemium, Glonoinum, Hyoscyamus, Ipecac., Iris versicolor, Lycopodium, Nux vom., Petroleum, Phosphorus, Sepia, Symphoricarpus racemosus, Tabacum, Theridion, Zingiber, Echinacea, Hypericum, Passiflora, Valeriana","Newton Laboratories, Inc.",2019-09-19,2022-12-17,MR77 1772 0589 9868 8506 8611 773,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
680,Bowel Nosode B Faecalis,Apotheca Company,2019-09-10,2023-05-19,TN73 5977 4816 3922 8950 6993,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
681,Oxygen,Johns Hopkins Pharmaquip,2020-05-21,2023-01-09,FO71 3866 3962 0529 47,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
682,"TITANIUM DIOXIDE, OCTINOXATE",Parfums Christian Dior,2019-09-15,2022-11-19,MK07 1903 JSNF 68EN N54,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
683,BENZALKONIUM CHLORIDE,"Mangiacotti, Inc",2019-11-21,2023-10-23,AT90 0723 3708 0136 8727,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
684,doxepin hydrochloride,Aidarex Pharmaceuticals LLC,2020-05-27,2023-10-09,GE28 PN19 1996 8920 8426 66,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
685,"bacitracin zinc,neomycin sulfate, polymyxin b sulfate, pramoxine hcl",Rite Aid,2019-09-19,2023-04-19,GI27 WWBK PZUZ ESOD WOCS LRO,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
686,"acteaminophen, dextromethorphan HBr, guaifenesin, phenylephrine HCl",Mckesson,2019-11-07,2023-09-24,GL76 3302 6337 5134 93,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
687,Prochlorperazine Maleate,Teva Pharmaceuticals USA Inc,2019-10-05,2023-02-09,FR76 5973 1804 61ZP BYS0 ZYTQ L02,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
688,methylergonovine maleate,"Dispensing Solutions, Inc.",2020-03-05,2023-10-06,GE62 LH33 4669 5885 0625 01,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
689,desloratidine,"Physicians Total Care, Inc.",2020-04-24,2023-04-10,MD32 ZTC8 IEWZ C2PX P86M GYMJ,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
690,Fexofenadine Hydrochloride,"Physicians Total Care, Inc.",2020-04-08,2022-12-26,AE77 2046 0896 0398 6672 747,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
691,Benzoyl Peroxide,Neutrogena Corporation,2020-03-31,2023-09-26,BA37 5756 8180 5020 0764,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
692,Levofloxacin,Greenstone LLC,2020-05-03,2024-01-12,SM06 Z722 8421 210O IE5E EVTW XFG,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
693,GLYCERIN,"NATURE REPUBLIC CO., LTD.",2020-05-27,2023-01-13,NL64 VWNA 4740 0928 89,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
694,Hydralazine Hydrochloride,Cardinal Health,2019-08-27,2023-09-30,IE76 BQPN 0744 5475 5794 53,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
695,OCTINOXATE,"Avon Products, Inc.",2020-01-13,2023-12-03,FR96 4861 8057 81ZE NBML SCZY F04,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
696,"ASA FOETIDA, IGNATIA AMARA, VALERIANA OFFICINALIS, AVENA SATIVA, ARGENTUM NITRICUM",HOMEOLAB USA INC.,2020-04-23,2024-07-01,LI14 2228 1GQP LHTL UZFP 5,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
697,Octreotide Acetate,Sandoz Inc,2020-07-25,2023-09-03,NO53 8592 9427 498,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
698,Tramadol Hydrochloride,"Preferred Pharmaceuticals, Inc.",2020-07-27,2022-09-12,GT73 L4WZ ATOT D7SN 988Z 0WYJ 0AB8,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem
699,American Sycamore,"ALK-Abello, Inc.",2020-04-16,2024-08-16,GL55 1798 9319 0694 86,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
700,SIMETHICONE,"Western Family Foods, Inc.",2020-07-13,2024-06-29,GT96 ZTRE JDOO 748T RNFB UIAL 1YAW,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel
701,Eucalyptus Cuprum sulf.,Uriel Pharmacy Inc.,2019-10-07,2022-09-15,BR40 1747 8126 9859 2675 8146 931W I,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
702,Triclosan,"SJ Creations, Inc.",2020-06-01,2023-03-01,FR69 3603 2734 10B0 YDU1 XQE9 T94,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
703,penicillium chrysogenum var. chrysogenum,"Allergy Laboratories, Inc.",2019-09-25,2022-10-22,FO73 1891 2409 9726 61,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
704,ZINC,Natural Health Supply,2020-05-01,2023-10-19,GT34 A5IE 1HHC IABL AMYZ ESKR 2XDX,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
705,"Camphor, Menthol, Methyl Salicylate",McKesson,2020-04-11,2023-10-01,FR92 2981 4043 77D9 VPNZ Z8WF X34,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
706,RISEDRONATE SODIUM,"Warner Chilcott (US), LLC",2020-07-13,2024-03-01,TN70 7145 8429 9987 5048 8068,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
707,TOPICAL STARCH,KJI Industrial Co Ltd,2019-10-01,2024-02-24,HU32 3219 9500 3292 4119 7985 3597,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
708,TRICLOSAN,Tri-Coastal Design Company Inc.,2019-10-29,2023-06-10,FO93 8913 5063 1329 66,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
709,Benazepril Hydrochloride and Hydrochlorothiazide,"Eon Labs, Inc.",2019-09-27,2024-03-25,BE44 3248 7046 5709,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
710,Ibuprofen,SMART SENSE (Kmart),2020-08-19,2023-04-08,FR02 6119 0660 46JA ALXO UEBT C81,ut tellus nulla ut erat id mauris vulputate elementum nullam varius
711,Cell Repair Aid,"Vitality Works, Inc.",2020-02-03,2022-11-11,CH86 4702 279D 5GID ZDCR T,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero
712,VALACYCLOVIR HYDROCHLORIDE,American Health Packaging,2020-01-07,2024-03-12,ME89 3966 5670 9822 2674 25,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
713,"IRON, ASCORBIC ACID, METHYLCOBALAMIN, and LEVOMEFOLATE CALCIUM","CENTRIX PHARMACEUTICAL, INC,",2020-06-15,2024-04-24,LI53 4259 0TZN 2J6V QZWL C,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
714,"Octinoxate, Octisalate, Avobenzone, Octocrylene",The Body Shop Wake Forest,2020-05-16,2023-12-17,FR40 9743 4280 24XI 81S3 GDNF 037,in libero ut massa volutpat convallis morbi odio odio elementum eu
715,Doxycycline Hyclate,Apace Packaging LLC,2020-08-15,2022-12-27,FR29 9280 5074 92WN RFNZ SGNO S50,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
716,ETHYL ALCOHOL,AMERICAN SALES COMPANY,2020-02-25,2022-11-27,PL13 9937 9385 7173 4460 7366 4958,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
717,chlorthalidone,"Monarch Pharmaceuticals, Inc",2019-08-26,2023-11-26,KW24 QGJM D9NN D5NP 8TK3 3IGK RFAZ FW,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
718,"Gonadotrophin, Chorionic",Ferring Pharmaceuticals Inc.,2020-02-18,2022-12-18,GT41 Y6RE 4U4X NXQB L7AV 5KL7 QAMI,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
719,"DEXTROSE, SODIUM CHLORIDE, and POTASSIUM CHLORIDE",B. Braun Medical Inc.,2019-09-24,2024-04-09,PS06 ARRG Z72Y JONM NCFO M9LS NDRY B,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
720,ATRACTYLODES LANCEA ROOT,"Evercarepharm Co., Ltd",2020-06-11,2024-07-03,SE41 0582 9595 7548 5228 7479,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
721,Duck Feathers,"Nelco Laboratories, Inc.",2020-03-15,2023-09-28,FO59 0157 5194 4716 88,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
722,SODIUM NITROPRUSSIDE,"Marathon Pharmaceuticals, LLC",2019-11-19,2022-12-17,FR76 5525 6989 991T S1OH T7WB F13,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
723,SODIUM FLUORIDE,Massco Dental A Division of Dunagin Pharmaceuticals,2020-06-20,2023-04-30,GT32 IYPC OPH3 T8OG VVDU HSPI DLH3,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
724,"Magnesium Chloride, Dextrose monohydrate, Lactic Acid, Sodium Chloride, Sodium Bicarbonate, and Potassium Chloride",Gambro Renal Products,2020-07-27,2024-07-03,MR59 9652 3091 3942 7480 1178 753,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
725,OXYMETAZOLINE HYDROCHLORIDE,"GREENBRIER INTERNATIONAL, INC.",2019-09-20,2024-01-27,FR22 5264 8494 22VQ ES3J 9ZKW Z61,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
726,Gabapentin,"NCS HealthCare of KY, Inc dba Vangard Labs",2020-06-09,2023-05-14,PT52 3239 9988 6681 5303 0796 5,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla
727,atorvastatin calcium,"PHARMAKON, LLC",2020-02-28,2023-10-15,FR93 1823 3082 81WB QQ9Z GF2O F34,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
728,Alcohol,Unique Holding Group Inc,2020-01-24,2023-11-19,CY48 9591 1735 OKBN MHTM GG5O QOZ0,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
